VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,Missing,COUNT,NA,MIN,MAX,Definition,Visits,Formula,Variable Concept Name,Variable Concept Code,Variable OMOP ID,Domain,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Categorical Value Concept Name,Categorical Value Concept Code,Categorical Value OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID
RenineremmerYN,Renin-inhibitors:Medication administered,str,,,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Medication administration,loinc:LP207306-4,706336,,,,,,
filter_$,Heart failure confirmed,str,,,,11332,,,,,,,heart failure confirmed,snomed:395105005,4215689,condition_occurrence,,,,,,,,,
interventies,total medical interventions performed,int,,1=only once|0=No|2=two interventions| 3=three interventions|4=four interventions,,11332,,0,4,,,,number of medications [minimum data set],loinc:45833-1,3043339,measurement,,,,,,,,,
HFmrEF_obv_beginEF,Patient has Heart Failure with mid range ejection fractionn (HFmrEF): baseline time,str,,HFpEF=Heart Failure with preserved Ejection Fraction| HFrEF=Heart Failure with reduced Ejection Fraction| HfmrEF=Heart Failure with mid range Ejection Fraction,,11332,,,,,,,heart failure with mid range ejection fraction,snomed:788950000,37311948,condition_occurrence,baseline time,loinc:64103-5,40766819,heart failure with normal ejection fraction|heart failure with reduced ejection fraction|heart failure with mid range ejection fraction,snomed:446221000|snomed:703272007|snomed:788950000,40486933|45766164|37311948,,,
HFmrEF_obv_EFNu,Assessment of Heart Failure with mid range Ejection Fraction (HfmrEF),str,,HFpEF=Heart failure with preserved ejection fraction| HFrEF=Heart failure with reduced ejection fraction| HfmrEF=Heart failure with mig range ejection fraction,,11332,,,,,,,heart failure with mid range ejection fraction,snomed:788950000,37311948,condition_occurrence,,,,heart failure with normal ejection fraction|heart failure with reduced ejection fraction|heart failure with mid range ejection fraction,snomed:446221000|snomed:703272007|snomed:788950000,40486933|45766164|37311948,,,
HFpEF_BMI,Body Mass Index (BMI) for patients diagnosed with Heart Failure with preserved Ejection Fraction (HFpEF) is determined,str,,BMI 25-30=overweight| BMI>30=obesity| BMI<25=normal or underweight,,11332,,,,,,,body mass index,snomed:60621009,4245997,measurement,heart failure,snomed:84114007,316139,normal weight|overweight|obese,snomed:43664005|snomed:238131007|snomed:414915002,4183890|437525|4215968,,,
HFpEF_SRvsHFpEF_AF,Atrial flutter diagnosis,str,,HFpEF + SR=patient with HFpEF who also has sinus rythm| HFpEF + AF=patient with HFpEF who also has Atrial Fibrillation| 2=both,,11332,,,,,,,atrial flutter,snomed:5370000,314665,condition_occurrence,diagnosis|heart failure with normal ejection fraction|sinus rhythm|atrial fibrillation,snomed:439401001|snomed:446221000|snomed:251150006|snomed:49436004,4234469|40486933|4091898|313217,heart failure with normal ejection fraction|heart failure with normal ejection fraction,snomed:446221000|snomed:446221000,40486933|40486933,,,
timeevent,time of event,int,,,,11332,,,,,,,time of event,snomed:460791000124109,37208123,visit,,,,,,,,,
Ifremmer,ivabradina:Medication administered,str,,nvt=not applicable|ivabradina=ivabradina| gestopt ivm bijw=Stopped due to side effects|contraindicatie=contraindicated,,,,,,,,,ivabradine,rxnorm:1649480,46234437,drug_exposure,Medication administration,loinc:LP207306-4,706336,not applicable|ivabradine|medication stopped - side effect|contraindicated,snomed:385432009|rxnorm:1649480|snomed:395009001|snomed:410536001,4294169|46234437|4216319|4253634,,,
DoseringIfremmer,ivabradina: dosage,str,mg (miligram),,,,,,,,,,ivabradine,rxnorm:1649480,46234437,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisIfremmer,ivabradina: daily dosage (no unit),float,,,,,,,,,,,ivabradine,rxnorm:1649480,46234437,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisfrequentieIfremmer,Ivabradina: dosing frequency,int,,1=once a day|2=twice a day,,,,,,,,,ivabradine,rxnorm:1649480,46234437,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,1 time per day|2 times per day,loinc:LA13827-3|loinc:LA13840-6,45885250|45883167,,,
DagdosisIfremmer,ivabradina total daily dose,float,mg (miligram),,,,,,,,,,ivabradine,rxnorm:1649480,46234437,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,milligram,ucum:mg,8576
