source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,source_visit,target_visit,transformation_rule,source_type,source_unit,source_data_type,source_categories_labels,source_original_categories,target_type,target_unit,target_data_type,target_categories_labels,target_original_categories,mapping type,harmonization_status
diuadj6,f5_tiazidi,21601461,3655254,atc:c03,diuretics,snomed:860766002,thiazides,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,no; medication stopped - side effect; reduced; more than once; stop; other; once,0; 5; 3; 2; 4; 6; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
diuadjbl,tiazidi,21601461,3655254,atc:c03,diuretics,snomed:860766002,thiazides,drug_exposure,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,other; no; more than once; once; stop; medication stopped - side effect; reduced,6; 0; 2; 1; 4; 5; 3,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
diuadj1,f3_tiazidi,21601461,3655254,atc:c03,diuretics,snomed:860766002,thiazides,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,other; stop; more than once; no; once; medication stopped - side effect; reduced,6; 4; 2; 0; 1; 5; 3,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
diuadj12,f6_tiazidi,21601461,3655254,atc:c03,diuretics,snomed:860766002,thiazides,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,once; no; reduced; more than once; medication stopped - side effect; stop; other,1; 0; 3; 2; 5; 4; 6,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
diuadj3,f4_tiazidi,21601461,3655254,atc:c03,diuretics,snomed:860766002,thiazides,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,stop; medication stopped - side effect; once; reduced; other; more than once; no,4; 5; 1; 3; 6; 2; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
loop_dose_bl,altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,,int,,,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
loop_at_v1,f3_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Complete Match (Identical)
loop_atv3,f4_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Complete Match (Identical)
loop_dose_v18,f7_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,,int,,,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
loop_dose_v12,f6_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,,int,,,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
loop_at_v6,f5_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
loop_at_bl,altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
loop_at_v12,f6_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
loop_dose_v3,f4_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,,int,,,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
loop_dose_v1,f3_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,,int,,,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
loop_at_v18,f7_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
loop_dose_v6,f5_altdiu,21601490,21601461,atc:c03ba,"""sulfonamides, plain""",atc:c03,diuretics,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,,int,,,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
v12spiro,f6_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,no; eplerenone; spironolactone,0; 2; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
v12spiro,f6_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,no; eplerenone; spironolactone,0; 2; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
v18spiro,f7_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,spironolactone; no; eplerenone,1; 0; 2,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
v18spiro,f7_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,spironolactone; no; eplerenone,1; 0; 2,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
spiroat_v1,f3_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_v1,f3_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
v3spiro,f4_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,eplerenone; no; spironolactone,2; 0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
v3spiro,f4_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,eplerenone; no; spironolactone,2; 0; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
blspiro,dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,spironolactone; no; eplerenone,1; 0; 2,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
blspiro,spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,spironolactone; no; eplerenone,1; 0; 2,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
spiroat_v3,f4_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_v3,f4_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
v6spiro,f5_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,no; spironolactone; eplerenone,0; 1; 2,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
v6spiro,f5_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,no; spironolactone; eplerenone,0; 1; 2,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
spiroat_v18,f7_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,yes; no,1; 0,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
spiroat_v18,f7_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_bl,dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
spiroat_bl,spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
v1spiro,f3_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,eplerenone; spironolactone; no,2; 1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
v1spiro,f3_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,eplerenone; spironolactone; no,2; 1; 0,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
spiroat_v6,f5_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_v6,f5_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
spiroat_v12,f6_spirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_v12,f6_dspirono,21601533,970250,atc:c03da,aldosterone antagonists,rxnorm:9997,spironolactone,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,yes; no,1; 0,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
v12spiro,f6_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,no; eplerenone; spironolactone,0; 2; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
v18spiro,f7_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,spironolactone; no; eplerenone,1; 0; 2,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
spiroat_v1,f3_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Complete Match (Identical)
v3spiro,f4_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,eplerenone; no; spironolactone,2; 0; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
blspiro,altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,spironolactone; no; eplerenone,1; 0; 2,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
spiroat_v3,f4_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Complete Match (Identical)
v6spiro,f5_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,no; spironolactone; eplerenone,0; 1; 2,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
spiroat_v18,f7_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 18 months,follow-up 18 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_bl,altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
v1spiro,f3_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,eplerenone; spironolactone; no,2; 1; 0,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
spiroat_v6,f5_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
spiroat_v12,f6_altdiu,21601533,21601461,atc:c03da,aldosterone antagonists,atc:c03,diuretics,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
dosebbbl,dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,baseline time,baseline time,"{""description"": ""Unit conversion in dataset required from ucum:% to ucum:mg (or vice versa).""}",continuous_variable,ucum:%,float,,,continuous_variable,ucum:mg,float,,,graph hierarchy match,Complete Match (Compatible)
dosebbbl,ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:%,float,,,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
bb_at_v3,f4_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Complete Match (Identical)
bb_at_v3,f4_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,yes; no,1; 0,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
bbadj12,f6_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,other; stop; medication stopped - side effect; once; no; reduced; more than once,6; 4; 5; 1; 0; 3; 2,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
bbadj12,f6_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,other; stop; medication stopped - side effect; once; no; reduced; more than once,6; 4; 5; 1; 0; 3; 2,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
bb_at_bl,dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,yes; no,1; 0,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
bb_at_bl,ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,1; 0,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Complete Match (Identical)
bb_at_v12,f6_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Complete Match (Identical)
bb_at_v12,f6_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",binary_class_variable,,int,no; yes,0; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
v6bb,f5_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,bisoprolol; carvedilol; nebivolol; other; bucindolol; atenolol; no; metoprolol,1; 2; 5; 9; 6; 4; 0; 3,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
v6bb,f5_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 6 months,follow-up 6 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,bisoprolol; carvedilol; nebivolol; other; bucindolol; atenolol; no; metoprolol,1; 2; 5; 9; 6; 4; 0; 3,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
bbadj1,f3_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,medication stopped - side effect; stop; no; more than once; other; reduced; once,5; 4; 0; 2; 6; 3; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
bbadj1,f3_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 month,follow-up 1 month,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,medication stopped - side effect; stop; no; more than once; other; reduced; once,5; 4; 0; 2; 6; 3; 1,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
dosebbv3,f4_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:%,float,,,binary_class_variable,,int,yes; no,3; 2,graph hierarchy match,Not Applicable
dosebbv3,f4_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 3 months,follow-up 3 months,"{""description"": ""Unit conversion in dataset required from ucum:% to ucum:mg (or vice versa).""}",continuous_variable,ucum:%,float,,,continuous_variable,ucum:mg,float,,,graph hierarchy match,Complete Match (Compatible)
blbb,dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,baseline time,baseline time,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",multi_class_variable,,int,bucindolol; nebivolol; carvedilol; atenolol; metoprolol; no; other; bisoprolol,6; 5; 2; 4; 3; 0; 9; 1,continuous_variable,ucum:mg,float,,,graph hierarchy match,Not Applicable
blbb,ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,bucindolol; nebivolol; carvedilol; atenolol; metoprolol; no; other; bisoprolol,6; 5; 2; 4; 3; 0; 9; 1,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
dosebbv12,f6_ateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Avoid continuous\u2192categorical harmonization for drug-related variables unless strongly justified.""}",continuous_variable,ucum:%,float,,,binary_class_variable,,int,no; yes,2; 3,graph hierarchy match,Not Applicable
dosebbv12,f6_dateno,21601665,1314002,atc:c07a,beta blocking agents,rxnorm:1202,atenolol,drug_exposure,follow-up 1 year,follow-up 1 year,"{""description"": ""Unit conversion in dataset required from ucum:% to ucum:mg (or vice versa).""}",continuous_variable,ucum:%,float,,,continuous_variable,ucum:mg,float,,,graph hierarchy match,Complete Match (Compatible)
